president_year,sentence,label
Estrada-1998,"twice number wish real, fulltime job.",
Estrada-1998,"sabihing maliit pa. subalit mo sasabihin pamilyang gutom mas masama kalagayan ibang pamilya ibang bansa one lost job one hungry family, one cold statistic cannot agree.",
Estrada-1998,statistics claim number poor people gone past decade.,
Estrada-1998,wonder people believe statistics.,
Estrada-1998,wala statistics iyan.,
Estrada-1998,"poor poor—walang pera, pagkain, bubong, dignidad, lalunglalo na, pagasa.",
Estrada-1998,lang iyan.,
Estrada-1998,"yung mayaman higit pang yumaman, mahihirap lalong humirap.",
Estrada-1998,wish could say shall set job security fund soon.,
Estrada-1998,dont want add inventory unfunded laws bills amount billion worth promises never fulfilled.,
Estrada-1998,"according statistics, past six years, philippine economy grew, richest percent got percent national income.",
Estrada-1998,poorest percent wala pang dalawang porsiyento.,
Estrada-1998,"worse countryside, percent filipinos still work onethird wages city.",
Estrada-1998,come here.,
Estrada-1998,"find jobs, none qualify.",
Estrada-1998,"noong araw, inakala kusang darating bansa banyagang negosyante manggagawa natin mahuhusay handang tumanggap mababang sahod.",
Estrada-1998,totoo.,
Estrada-1998,napakababa productivity karaniwang manggagawang pilipino kalahati lang nakapagtapos mababang paaralan samantalang tatlumput tatlong porsiyento lang nakaabot high school.,
Estrada-1998,"ngunit limitado pondo maari nating ilaan edukasyon kakulangan tayong , silidaralan, , guro.",
Estrada-1998,"larangan edukasyon—hanggang ngayon, mahigit tatlumpung porsiyento tahanan bansa wala ring kuryente.",
Estrada-1998,"boung asya, sunod bansang hapon taas singil natin kuryente.",
Estrada-1998,"larangan agrarian reform, nasa taon na.",
Estrada-1998,"percent target areas distributed, productivity become lower.",
Estrada-1998,"mean land left landlords, farmers left fend themselves.",
Estrada-1998,now.,
Estrada-1998,"add anarchy peace order front, thing organized crime, thing systematic kidnapping.",
Estrada-1998,result capital flight.,
Estrada-1998,yet officials think attract foreign funds tax incentives potential kidnap victims.,
Estrada-1998,"sinumang bagong pangulo pangarap minimithing bansa lalunglalo akin, malaki inaasahan masang pilipino.",
Estrada-1998,"ngunit gustuhin man maibigay inaasahan lalong madaling panahon, ibibigay wala tayong sapat pananalapi igugugol maiangat kabuhayan billion budget deficit consolidated public sector deficit could go high billion.",
Estrada-1998,"collection taxes duties down, even tax exemptions incentives cut deep government revenues.",
Estrada-1998,government could borrow more.,
Estrada-1998,raise interest rates worsen economic slowdown.,
Estrada-1998,result less taxes fewer jobs.,
Estrada-1998,"high interest rates squeeze gnp two percent more, half million jobless.",
Estrada-1998,"pressure bangko sentral print money, inflation shoot up.",
Estrada-1998,"kaliwat kanan, latay, napakahirap tumimbang, sadyang malala problema natin.",
Estrada-1998,"gayunpaman, nasa ugat problema nakikita solusyon.",
Estrada-1998,problems face magnitude require nothing less heroic concerted action.,
Estrada-1998,"must move upon single community, bound together common rules agree respect obey.",
Estrada-1998,"begin with, reduce cost governance, costs go higher higher corrupt act, wasteful project.",
Estrada-1998,"bilyunbilyong piso nawawaldas proyektong maaksaya silbi, lalong malaki nawawalang parang bula patuloy kurakot.",
Estrada-1998,"business pays taxes, mostly pockets bir agents customs examiners instead national treasury.",
Estrada-1998,"alone, save much billion pork barrel.",
Estrada-1998,.,
Estrada-1998,"billion went centennial celebration, department social welfare beg million emergency food aid drought victims mindanao, get it.",
Estrada-1998,"world development report ranks philippine civil service among politicized world, politics deciding appointments janitor.",
Estrada-1998,corruption index ranked philippines second corrupt country region.,
Estrada-1998,debt service took percent national budget last year .,
Estrada-1998,billion first semester alone.,
Estrada-1998,"total external debt, including private sector, .",
Estrada-1998,billion .,
Estrada-1998,trillion pesos.,
Estrada-1998,"nang akoy maupo pangulo, nagulat nang ipaalam umabot pala .",
Estrada-1998,trillion kabuuang utang pampublikong sektor.,
Estrada-1998,"bilyunbilyon usapan ngayon, kundi trilyuntrilyon na.",
Estrada-1998,"know economic slowdown, deep asian crisis.",
Estrada-1998,know dont much work with.,
Estrada-1998,previous leaders laid political economic reforms make enduring framework build.,
Estrada-1998,"race time, impatient public ask us reforms pay dividends common man well, begin now.",
Estrada-1998,"honesty, thrift, efficiency.",
Estrada-1998,tama pagpapasasa.,
Estrada-1998,tama nakawan.,
Estrada-1998,tama aksaya.,
Estrada-1998,tama palabas.,
Estrada-1998,"magbanat mgabuto, tunay serbisyo siyang balangkas solusyon.",
Estrada-1998,"taon, inaasahang bilyon, bilyon lamang, kailangang magsagawa kaukulang pagbabago pagtitipid pamahalaan upang lalo pang paliitin inaasahang kakulangan bilyon lamang.",
Estrada-1998,"order achieve targets, resolutely pursue several major cutbacks expenditure programs.",
Estrada-1998,"first, instructed secretary budget continue withhold percent budget allocations, excluding salaries wages, various national agencies, including office president.",
Estrada-1998,"second, continue withhold percent internal revenue allotment local government units .",
Estrada-1998,"third, believe congress shares conviction abolish pork barrel face fiscal position.",
Estrada-1998,kakaunti congressman pumapalakpak.,
Estrada-1998,people ask less.,
Estrada-1998,"lastly, postpone implementation year various programs earmarked funding military camp sale proceeds, including afp modernization program.",
Estrada-1998,also move quickly dispose burden governmentowned corporations.,
Estrada-1998,urge congress prioritize bill privatizing napocor within first three months session.,
Estrada-1998,"privatization government shares pasar, philphos, petron, fti, pnb, pnocedc, pncc, meralco, two governmentowned television stations commence year.",
Estrada-1998,"department finance put place, within days, program spin restructure rest government corporations.",
Estrada-1998,ngunit ospital pamahalaan natin ibebenta.,
Estrada-1998,mananatiling susuportahan pamahalaan.,
Estrada-1998,"dealings, contracts, negotiations done complete transparency integrity, every step way.",
Estrada-1998,"indication anomaly, immediately cancel sale.",
Estrada-1998,"uulitin ko, balita lang katiwalian, ipatitigil klase subasta.",
Estrada-1998,sila.,
Estrada-1998,ordered inventory government lands titled departments bureaus transfer national government.,
Estrada-1998,want officials keep real estate business stick public service.,
Estrada-1998,let us forget privatization mainly emergency response emergency situation.,
Estrada-1998,therefore intention initiate institutional reform entire budget process.,
Estrada-1998,"administration completed first threeyear budget framework, national government soon propose congress budget accord.",
Estrada-1998,"contrast current practice executive decides initial list programs projects, budget accord involve congress executive selection projects approved president.",
Estrada-1998,"total expenditures cannot exceed predetermined, irrevocable ceilings threeyear period.",
Estrada-1998,"panig po naman pananalapi, umaasa akong magtatagumpay action plan department finance upang epektibo pangongolekta buwis.",
Estrada-1998,"action plan department finance start asset census, intended establish uptodate reliable database net worth taxpaying filipinos.",
Estrada-1998,push tax amnesty give peace mind delinquent taxpayers tax credits honest ones.,
Estrada-1998,"tax amnesty, assure apply full force law tax evaders.",
Estrada-1998,"tinitiyak inyo natin hahabulin tax evaders kundi siguradong mapaparusahan, man sila.",
Estrada-1998,establish large taxpayers unit bir.,
Estrada-1998,suspend implementation certain boi exemptions granted companies laws executive orders expired .,
Estrada-1998,fiscal reforms forced upon us economic crisis continue serve us well even crisis over.,
Estrada-1998,take opportunity establish fiscal discipline spending habits government.,
Estrada-1998,"although tolerate certain amount deficit year, try best possible pursue balanced budget national government coming years.",
Estrada-1998,consolidated deficit entire public sector limited percent countrys gnp.,
Estrada-1998,"makikinabang nating pamahalaan, kundi karaniwang mamamayan rin.",
Estrada-1998,"larangan financial system, patuloy igagalang administrasyon kalayaan monetary board bangko sentral pilipinas.",
Estrada-1998,subalit kailangang magdusa lubos kalakalan patuloy pagtaas interest rates.,
Estrada-1998,"kakatigan pagbaba interest pagpapabilis daloy pananalapi, lalo maliliit negosyo.",
Estrada-1998,"gayunpaman, titiyakin salapi government financial institution sosolohin iilang korporasyon.",
Estrada-1998,"giant corporations powerful groups cornered huge chunk resources government banks, whose mandate principally help agriculture small medium enterprises.",
Estrada-1998,practice reversed.,
Estrada-1998,sobra pagsasamantala.,
Estrada-1998,billionaires pushed small borrowers lending windows charge much higher interest rates.,
Estrada-1998,"time on, gfis truly, sincerely, service common peoples needs.",
Estrada-1998,"ipinamalas kasalukuyang krisis peligro labis pagasa pondong nagmumula labas, kayat nating pagibayuhin nating pagiipon, nang tayong pampuhunan proyekto.",
Estrada-1998,"dako naman agrikultura, lubhang napabayaan, kayat food security milyong pilipino nasa bingit alanganin.",
Estrada-1998,"monopoly rice importation national food authority stabilized prices, broken cartels.",
Estrada-1998,"two administrations declared sugar sunset industry, doomed die.",
Estrada-1998,maybe.,
Estrada-1998,"know that, sunset industry not, cannot leave three million families depend sugar dark, nothing eat sun goes down.",
Estrada-1998,marahil paglubog agrikultura dulot imprastruktura.,
Estrada-1998,sapat daanan naguugnay bukid pamilihan.,
Estrada-1998,nga ba magtatanim mo naman maibebenta inani condoning irrigation fees.,
Estrada-1998,ibibigay natin libre patubig magsasaka.,
Estrada-1998,"time, launch fullscale program based costeffective irrigation technologies.",
Estrada-1998,"nating , kilometro bagong daan.",
Estrada-1998,magkakahalaga billion.,
Estrada-1998,"without graft corruption, money well spent.",
Estrada-1998,could also jumpstart economy.,
Estrada-1998,"naman kapaligiran, ipapairal natin ganap pagbabawal pagtotroso total log ban.",
Estrada-1998,maglulunsad bagong programa muling pagtatanim puno.,
Estrada-1998,like past massive reforestation another excuse massive corruption.,
Estrada-1998,traffic tells us need roads need finish faster.,
Estrada-1998,one reason delay roads projects issuance temporary restraining orders tros.,
Estrada-1998,"interfere judiciary, urge supreme court remind judges lawyers oath delay man money.",
Estrada-1998,garapal bentahan temporary restraining order.,
Estrada-1998,"lakas mahihirap upang tulungan sarili, ngunit ngayon, gobyerno kapos pondo.",
Estrada-1998,must strategize maximize.,
Estrada-1998,"doleouts out, basic social services right.",
Estrada-1998,"means basic health care, basic nutrition, useful education want cannot afford it.",
Estrada-1998,speed program establish one science high school every province.,
Estrada-1998,give education subsidies straight deserving students teachers without passing schools.,
Estrada-1998,way choose study teach.,
Estrada-1998,nangangailangan salapi.,
Estrada-1998,"susunod hakbangin, natin tapang political will.",
Estrada-1998,nilagdaan executive order lumilikha tinaguriang presidential task force organized crime.,
Estrada-1998,"bunga nito, katakuttakot batikos ipinukol akin.",
Estrada-1998,"tanong, sagot kontra ba krimen, lulmalaban krimen task force think needed hit crime, hit hard put out—decisively.",
Estrada-1998,"maybe better way, one shown this.",
Estrada-1998,say wrong right effectively.,
Estrada-1998,sawa kanila.,
Estrada-1998,"pati mamamayan, sawa rin.",
Estrada-1998,sawa puro pamumulitika.,
Estrada-1998,"sawa puro salita, ngunit wala namang nagagawa kundi laitin lumalaban krimen.",
Estrada-1998,buo pasiya.,
Estrada-1998,tuloy presidential task force criminals.,
Estrada-1998,propose congress amends dangerous drug act eliminate possibility probation offenders.,
Estrada-1998,even say sorry.,
Estrada-1998,place drug dealer addict together jail.,
Estrada-1998,shall propose another controversial measure.,
Estrada-1998,want devolve greater administrative control philippine national police local government units.,
Estrada-1998,sure get hit also.,
Estrada-1998,perhaps constitutional question here.,
Estrada-1998,"one thing sure, abusing power.",
Estrada-1998,sharing power local executives national police.,
Estrada-1998,pulis baon hirap nalalayo tukso mangabuso.,
Estrada-1998,nagdududa gagampanan nang tapat alagad batas tungkulin gaano silang kahirap.,
Estrada-1998,"ngunit natin pabibigatin kalagayan naniniwala sapat sahod alagad batas, higit magiging propesyonal pulisya.",
Estrada-1998,"krimen, sagot natin kaparusahan.",
Estrada-1998,"rebelyon, tugon natin negosasyon.",
Estrada-1998,"nagsisialsa, tapat pagnanasa makamit pagbabago lipunan, handang makipagnegosasyon.",
Estrada-1998,"subalit terorista, wala tayong panahon.",
Estrada-1998,"kapatid nating muslim, hinihiling pagkakataon mabigyan katarungan napakaraming taon kapabayaan.",
Estrada-1998,"tigilan natin dahas, pagibayuhin sandugong kapatiran.",
Estrada-1998,samantalang karapatan kababaihan patuloy nating itataguyod.,
Estrada-1998,"president, inherit problems responsibility finish predecessors started.",
Estrada-1998,includes resolution illgotten wealth cases marcos era.,
Estrada-1998,so.,
Estrada-1998,talked settlements precluded continuing prosecution.,
Estrada-1998,yet cases gone long enough.,
Estrada-1998,"therefore, order presidential commission good government go forward illgotten wealth cases evidence taken long years collect.",
Estrada-1998,delays.,
Estrada-1998,"one way another, want cases end one year, final judgments acceptable settlements.",
Estrada-1998,"taon, siguro naman katibayan upang mabigyan katarungan sambayanang pilipino.",
Estrada-1998,"maliwanag halimbawa justice delayed, justice denied.",
Estrada-1998,dakong external security naman.,
Estrada-1998,effective national defense requires modern weaponry better fighting men.,
Estrada-1998,"spend expensive hardware, let us right kind soldiers.",
Estrada-1998,weapons win wars men fight them.,
Estrada-1998,"develop credible military deterrent, must depend goodwill neighbors, treaty commitments united states, skills diplomats conveying everyone want peace, stability, shared prosperity.",
Estrada-1998,said stand senator u.s. bases treaty disqualifies president endorsing visiting forces agreement united states.,
Estrada-1998,"contrary, stood philippine sovereignty , president, moral right stand philippine security today.",
Estrada-1998,"bahagi naman pamamahala, itinatag pamahalaan upang paglingkuran mamamayan—at sarili.",
Estrada-1998,tutuusin natin higit pang pamamahala—lalo upang itaguyod kapakanan maralita.,
Estrada-1998,"ngayon, labislabis pamamahala, subalit naman serbisyong pampubliko.",
Estrada-1998,pakikiusapan kongreso bigyan kapangyarihan reorganisahin gobyerno upang matipid masinop.,
Estrada-1998,aim change officials rationalize government operations.,
Estrada-1998,"small country, small government.",
Estrada-1998,national also local level.,
Estrada-1998,"naman electoral reforms, halalang mapayapa kailangan, kundi kampanyang lubhang magastos.",
Estrada-1998,karapatan mamamayang bumoto natin tiyakin siguruhin natin boto mabibilang.,
Estrada-1998,"upang makamit ito, bigyan komisyon halalan higit pang kapangyarihan upang harangin parusahan uri pandaraya.",
Estrada-1998,hinihiling kongreso magpatibay batas upang gawing heinous crime electoral fraud.,
Estrada-1998,matapos computerization program sumapit susunod eleksiyon.,
Estrada-1998,natitiyak tayong magagawa ikabubuti pangangasiwa pamahalaan—ngunit maaring pang baguhin ilang alituntunin saligang batas.,
Estrada-1998,darating pagbabago saligang batas.,
Estrada-1998,kagalanggalang kinatawan sambayanang pilipino hayaan ninyong wakasan mensaheng pagsambit taimtim pagasa.,
Estrada-1998,ngayong taon—sa kabila mabibigat suliranin—sumusulong rin ekonomiya.,
Estrada-1998,"year, despite formidable odds, still expect economic growth.",
Estrada-1998,gross national product targeted expand year percent.,
Estrada-1998,"countries region registered negative gnp, continue positive growth—this, would say, credit predecessor, former president ramos.",
Estrada-1998,"believe keep inflation based prices single digits, around .",
Estrada-1998,percent.,
Estrada-1998,"conclude, aim help country escape recession.",
Estrada-1998,"solutions obvious, proposals commonplace, never adapted before.",
Estrada-1998,"sum, spend wisely less.",
Estrada-1998,"austerity hard work generate means cover shortfalls past, smooth runway final takeoff.",
Estrada-1998,"perhaps then, six years passed, someone else take pilot.",
Estrada-1998,"honored enough elected position highest responsibility, power, trust land.",
Estrada-1998,"neither pretensions ambition, sincere desire serve, help least people.",
Estrada-1998,"po akoy humihingi inyo kaunting pagunawa, kaunting panahon, kaunting pagtitiis alangalang bayan, higit nakakaraming mahihirap mamamayan.",
Estrada-1998,"naniniwala nagawa natin tayoy nagkaisa, tayoy nagkasamasama, klaseng pagsubok malalampasan natin.",
Estrada-1998,nandiyan hamon nandiyan tagumpay.,
Estrada-1998,"maraming, maraming salamat po.",
Estrada-2000,transcript third state nation address joseph ejercito estradato congress philippines toward new beginnings thank much.,
Estrada-2000,honorable vice president gloria macapagalarroyo honorable senate president franklin drilon honorable house speaker manuel villar jr. honorable supreme court chief justice hilario davide jr. former president fidel v. ramos excellencies diplomatic corps led dean diplomatic corps archbishop antonio franco armed forces chief staff general angelo t. reyes commanding generals armed forces major services honorable members congress honorable members cabinet honorable local executives distinguished guests coworkers government first lady dra.,
Estrada-2000,loi minamahal kababayan first opening session congress first state nation address held third millennium century.,
Estrada-2000,obviously auspicious occasion new beginnings.,
Estrada-2000,"new beginning mindanao, new beginning economy, new beginning integrity government, new beginning country.",
Estrada-2000,also new beginning presidency.,
Estrada-2000,"begin with, write new history mindanao.",
Estrada-2000,"rectify centuries historical wrongs committed successive colonial powers, decades inequity committed successive philippine governments.",
Estrada-2000,mindanao traditionally called land promise.,
Estrada-2000,romantic name always oneway affair.,
Estrada-2000,rest country always expected mindanao fulfill promises them.,
Estrada-2000,time rest country fulfill promises mindanao.,
Estrada-2000,convert mindanao land fulfillment.,
Estrada-2000,let us forget mindanao integral organic part philippines.,
Estrada-2000,past four half centuries.,
Estrada-2000,"today, forever.",
Estrada-2000,government neutralize attempt moro islamic liberation front amputate southern parts country away organic whole convert independent muslim state.,
Estrada-2000,"winning war territorial encroachment simply previous administration refused fight, pretending wasnt happening.",
Estrada-2000,"fact, milf already occupied hoisted flag large territories mindanao—in least camps—under nose preceding administration, either naive enough tolerate timid stop them.",
Estrada-2000,"contrast, government decisive enough expel them.",
Estrada-2000,"president, could stand rebels ate countrys territory elected govern.",
Estrada-2000,"took office, swore preserve defend constitution.",
Estrada-2000,solemn duty constitution repel armed rebellion defend sovereignty integrity republic.,
Estrada-2000,"milf could talked position, whether territorial ideological.",
Estrada-2000,said goal secession nonnegotiable.,
Estrada-2000,"well, neither sovereignty integrity republic.",
Estrada-2000,one challenge proposition force arms get away it.,
Estrada-2000,would quieter conflict could resolved exchange words rather exchange fire.,
Estrada-2000,"whenever words tried past, name socalled peace reality appeasement, rebels simply used peace talks opportunity arms buildup, troop recruitment training, deployment, territorial consolidation, enlarging threat republic.",
Estrada-2000,would larger space tolerance pushed cause open marketplace ideas.,
Estrada-2000,"instead, built army used firepower force separatist aims unwilling people.",
Estrada-2000,"true form, milf took advantage ceasefire commit least violations.",
Estrada-2000,"include kidnapping father luciano benedetti september occupying setting fire municipal hall talayan, maguindanao takeover kauswagan municipal hall bombing lady mediatrix boat ozamiz city takeover narciso ramos highway.",
Estrada-2000,"so, inflicted severe damage countrys image abroad, scared muchneeded investments away.",
Estrada-2000,numerous camps maintained boy scout camps.,
Estrada-2000,staging areas launching pads expanding milf rebellion further.,
Estrada-2000,military camps command control government republic philippines.,
Estrada-2000,owed allegiance elsewhere.,
Estrada-2000,"given these, plus unabated murders, terrorism, abuses, extortion, bombings, illegal control buildings public highways, atrocities committed rebels pursuit secessionist aims, government faced two choices.",
Estrada-2000,"one play sucker, keep talkng let problems grow republic real mortal danger.",
Estrada-2000,meet force force.,
Estrada-2000,armed rebellion demanded armed response.,
Estrada-2000,sittingduck strategy never known work well  duck.,
Estrada-2000,"order ensure permanent peace future, demolish rebels apparatus making war.",
Estrada-2000,"moreover, abstention military action would meant political abdication.",
Estrada-2000,"effect, choose military option.",
Estrada-2000,forced upon us.,
Estrada-2000,used it.,
Estrada-2000,succeeded.,
Estrada-2000,retaking territories symbolic victory substantive one.,
Estrada-2000,"upheld constitutional principle philippines one state, one republic, one government, one military answerable one civilian commander chief, one constitution one flag, one undivided territory.",
Estrada-2000,now.,
Estrada-2000,forever.,
Estrada-2000,buong bansa nagpupugay kagitingan opisyal kawani sandatahang lakas pilipinas pamumuno kalihim department national defense chief staff armed forces philippines.,
Estrada-2000,"kasama field commanders, tinupad buong katapatan katapangan tungkulin pagsakop kampo milf.",
Estrada-2000,"let whole country salute filipino soldiers valiantly bravely fought rebels defense sovereignty, integrity, honor republic philippines.",
Estrada-2000,"let whole country pay tribute, particular, gave lives injured fighting preserve unity motherland.",
Estrada-2000,nakadagdag hanay bagong bayani.,
Estrada-2000,"ngunit buong lipunan nakikiramay mahal buhay nasawi, hanay dalawang puwersa, sibilyan man sundalo.",
Estrada-2000,nakikidalamhati nasaktan napinsala kaguluhang ito.,
Estrada-2000,"war, time win peace.",
Estrada-2000,"toward end, government adopted fourpoint strategy approaching mindanao question hereon.",
Estrada-2000,invite milf brotherly embrace peace.,
Estrada-2000,let us walk away battlefield conference room.,
Estrada-2000,must good faith.,
Estrada-2000,"must talk peace us, talk preparing war.",
Estrada-2000,must accept conditions.,
Estrada-2000,"must drop secession, drop criminal activities, drop arms.",
Estrada-2000,requests demands.,
Estrada-2000,proposals premises.,
Estrada-2000,"talk when, where, how, whether not.",
Estrada-2000,"flexible timetables methods, principles.",
Estrada-2000,reasons demand obvious.,
Estrada-2000,briefly discuss reverse order.,
Estrada-2000,"must drop weapons outside armed forces philippines authorized police forces, group whatsoever right maintain armed force military camps within sovereign territory republic.",
Estrada-2000,"secession mere ideology, backed armed force, becomes rebellion.",
Estrada-2000,"secessionist argue, rebel kill.",
Estrada-2000,government choice disarm rebel—except duly licensed personal firearms.,
Estrada-2000,"must drop criminal activities terrorism, bombings, violence place civilized society.",
Estrada-2000,criminals place negotiating table.,
Estrada-2000,place jail.,
Estrada-2000,"all, must drop secessionist goals.",
Estrada-2000,ask respect recognize sovereignty republic.,
Estrada-2000,demand do.,
Estrada-2000,give milf unsolicited advice.,
Estrada-2000,secession philippines impossible dream.,
Estrada-2000,"simply space geography, demographics, national mentality forcibly carving another state present philippine territory.",
Estrada-2000,"reason, foreign models invoke, like east timor, work you.",
Estrada-2000,please bear mind neither sole occupants even majority lands wish carve convert state.,
Estrada-2000,"whole filipino populations mindanao—muslims, christians, lumad—who want territories residences disturbed.",
Estrada-2000,even majority muslim population shares separatist views violent means employ attain them.,
Estrada-2000,overriding passion people mindanao peace.,
Estrada-2000,international community whole neither support sympathize secession.,
Estrada-2000,"fact, deeply appreciate statement secretary general organization islamic conference , encouraging muslim minorities nonmember states, quote contribute effectively progress countries live respect sovereignty laws.",
Estrada-2000,unquote.,
Estrada-2000,secession dream also tune history.,
Estrada-2000,"one lesson historical evolution taught us, diversity cause celebration, segregation cultural crossbreeding leads strength inbreeding leads weakness cultural identities enriched interaction impoverished isolation.",
Estrada-2000,glorious creations achievements civilization products historical confluences islam christianity.,
Estrada-2000,strive peaceful coexistence interactive harmony constructive interdependence.,
Estrada-2000,cannot negotiate secession.,
Estrada-2000,sovereignty integrity republic available compromise trade—not even sake peace.,
Estrada-2000,peace bartering portion sovereignty immoral peace.,
Estrada-2000,cannot talk secession.,
Estrada-2000,talk new beginning mindanao.,
Estrada-2000,"fact, bold enough it, talk different war, bigger war needs fought.",
Estrada-2000,mean guerrilla warfare appear shifted to.,
Estrada-2000,"hope stop—for sake people, especially poor, suffer continued hostilities.",
Estrada-2000,"decide engage us further, ready you.",
Estrada-2000,"shift strategies tactics, we.",
Estrada-2000,"talk another war, mean war correct historical wrongs, left sad legacy poverty social injustice mindanao.",
Estrada-2000,"war us, including exrebels, fight together.",
Estrada-2000,fighting rebellion one thing.,
Estrada-2000,takes military it.,
Estrada-2000,fighting root causes rebellion another.,
Estrada-2000,take whole society it.,
Estrada-2000,talk possibility amnesty.,
Estrada-2000,ask milf leaders lead followers walking us along path peace.,
Estrada-2000,"hand, invite milf followers walk us peace even leaders wont.",
Estrada-2000,"instead lives hunted fugitives, live lives peaceful farmers, fishermen, factory workers, merchants, entrepreneurs, civil servants, even soldiers policemen.",
Estrada-2000,"short, talk reintegration society.",
Estrada-2000,also talk autonomy.,
Estrada-2000,"subject, willing creative explore wide range possibilities, including radical changes political structure.",
Estrada-2000,"urge jointly envision create new order mindanao, restructure governance, economy, social environment island, beauty diversity.",
Estrada-2000,"convert mindanao main food basket philippines, agricultural paradise, booming manufacturing base.",
Estrada-2000,"camp abubakar, soldiers proudly raised philippine flag, developed special economic zone.",
Estrada-2000,"one thing must emphasize, however, autonomy confer immunity exemption good governance, transparency, accountability, particularly use public funds.",
Estrada-2000,government providing full development support mindanao.,
Estrada-2000,", peace agreement signed, , government poured billion socioeconomic development programs special zone peace development comprising provinces, well support strengthening political institutions autonomous region muslim mindanao .",
Estrada-2000,"move peace process development mindanao forward faster, urge congress pass bill amending armm organic act bill granting special powers enable fasttrack development mindanao.",
Estrada-2000,"matter abu sayyaf, happy hostages released.",
Estrada-2000,wish give assurance primary concern government safe release hostages.,
Estrada-2000,"contrary rebel propaganda, fight muslims all.",
Estrada-2000,brothers.,
Estrada-2000,"fight rebels outlaws, regardless religion.",
Estrada-2000,"thus, wish send message muslim filipinos, majority share passion peace renounce separatist rebellion.",
Estrada-2000,muslim brothers worship god—the god abraham moses.,
Estrada-2000,"call arabic name, allah, filipino simply means diyos english, god.",
Estrada-2000,side maybe neither.,
Estrada-2000,"side peace, therefore sides.",
Estrada-2000,government invoked constitution rolled back rebellion.,
Estrada-2000,let us invoke common god build structures peace.,
Estrada-2000,"embark new beginning mindanao, shall also launch new beginning integrity government.",
Estrada-2000,"address last year, said hindi binebeybi rebelyon.",
Estrada-2000,pinipisa.,
Estrada-2000,iyan tinupad.,
Estrada-2000,"recently, also said i offer peace want peace.",
Estrada-2000,promise defeat want war.,
Estrada-2000,iyan tinupad rin.,
Estrada-2000,"remind statements rebellion, shifting war towards another enemy graft corruption.",
Estrada-2000,pangako inyo tutuparin rin.,
Estrada-2000,susunod digmaan tiwali pamahalaan tao pribadong sektor nakikipagsabwatan kanila.,
Estrada-2000,"graft corruption weakens moral fabric people, robs poor, increases costs business, erodes tax collection efforts, drives away investments.",
Estrada-2000,world bank estimates least percent government project funds ends kickbacks.,
Estrada-2000,"world bank, personal request, conducted extensive studies assembled report entitled combating corruption philippines.",
Estrada-2000,"presents exhaustive analysis corruption country, puts forward set recommendations.",
